id,titulo,año,pais,tipo
180,"Turn Me On, Goddammit",2011,Noruega,Película
181,Todo sobre Lily,2001,Japón,Película
182,Mean Creek,2004,Estados Unidos,Película
183,The King of Pigs,2011,Corea del Sur,Película
184,The Final,2010,Estados Unidos,Película
185,Acoso en la red social (TV),2011,Canadá,TV
186,Perras,2011,México,Película
187,Cyberbully (TV),2015,Reino Unido,TV
188,Regreso al futuro,1985,Estados Unidos,Película
189,Ciudad de Dios,2002,Brasil,Película
190,American Pie,1999,Estados Unidos,Película
191,Juno,2007,Estados Unidos,Película
192,Grease,1978,Estados Unidos,Película
193,La red social,2010,Estados Unidos,Película
194,El diario de Noa,2004,Estados Unidos,Película
195,La ola,2008,Alemania,Película
196,Dirty Dancing,1987,Estados Unidos,Película
197,Sé lo que hicisteis el último verano,1997,Estados Unidos,Película
198,Malcolm (Serie de TV),2000,Estados Unidos,Serie de TV
199,Los goonies,1985,Estados Unidos,Película
200,Super 8,2011,Estados Unidos,Película
201,Clerks,1994,Estados Unidos,Película
202,Aquellos maravillosos años (Serie de TV),1988,Estados Unidos,Serie de TV
203,Smallville (Serie de TV),2001,Estados Unidos,Serie de TV
204,Boyhood (Momentos de una vida),2014,Estados Unidos,Película
205,Elephant,2003,Estados Unidos,Película
206,Scott Pilgrim contra el mundo,2010,Estados Unidos,Película
207,Sensación de vivir - 90210 (Serie de TV),1990,Estados Unidos,Serie de TV
208,Sleepers,1996,Estados Unidos,Película
209,El bola,2000,España,Película
210,Moonrise Kingdom,2012,Estados Unidos,Película
211,La vida de Adèle,2013,Francia,Película
212,Las ventajas de ser un marginado,2012,Estados Unidos,Película
213,Dawson crece (Serie de TV),1998,Estados Unidos,Serie de TV
214,Supersalidos,2007,Estados Unidos,Película
215,El lago azul,1980,Estados Unidos,Película
216,American Pie 2,2001,Estados Unidos,Película
217,Las vírgenes suicidas,1999,Estados Unidos,Película
218,The O.C. - The Orange County (Serie de TV),2003,Estados Unidos,Serie de TV
219,This Is England,2006,Reino Unido,Película
220,Los cuatrocientos golpes (Los 400 golpes),1959,Francia,Película
221,Soñadores,2003,Reino Unido,Película
222,Cuenta conmigo,1986,Estados Unidos,Película
223,Como agua para chocolate,1992,México,Película
224,Spider-Man: Homecoming,2017,Estados Unidos,Película
225,Barrio,1998,España,Película
226,Las chicas Gilmore (Serie de TV),2000,Estados Unidos,Serie de TV
227,Chicho Terremoto (Serie de TV),1981,Japón,Serie de TV
228,American Pie 3: ¡Menuda boda!,2003,Estados Unidos,Película
229,Proyecto X,2012,Estados Unidos,Película
230,Un paseo para recordar,2002,Estados Unidos,Película
231,Misfits (Inadaptados) (Serie de TV),2009,Reino Unido,Serie de TV
232,Your Name,2016,Japón,Película
233,Las normas de la casa de la sidra,1999,Estados Unidos,Película
234,Heidi (Serie de TV),1974,Japón,Serie de TV
235,The Blind Side (Un sueño posible),2009,Estados Unidos,Película
236,La huérfana,2009,Estados Unidos,Película
237,Lion,2016,Australia,Película
238,Un papá genial,1999,Estados Unidos,Película
239,Stuart Little,1999,Estados Unidos,Película
240,Arizona Baby,1987,Estados Unidos,Película
241,Verano 1993,2017,España,Película
242,Secretos y mentiras,1996,Reino Unido,Película
243,Philomena,2013,Reino Unido,Película
244,Tres hombres y un bebé,1987,Estados Unidos,Película
245,El niño de la bicicleta,2011,Bélgica,Película
246,El inolvidable Simon Birch,1998,Estados Unidos,Película
247,Stuart Little 2,2002,Estados Unidos,Película
248,El niño,2005,Bélgica,Película
249,El enviado,2004,Estados Unidos,Película
250,Descubriendo a los Robinsons,2007,Estados Unidos,Película
251,La vida de Calabacín,2016,Suiza,Película
252,"Thi Mai, rumbo a Vietnam",2018,España,Película
253,3 solteros y un biberón (Tres solteros y un biberón),1985,Francia,Película
254,Madres e hijas,2009,Estados Unidos,Película
255,El niño de Marte,2007,Estados Unidos,Película
256,Familia al instante,2018,Estados Unidos,Película
257,Somnia. Dentro de tus sueños,2016,Estados Unidos,Película
258,Webster (Serie de TV),1983,Estados Unidos,Serie de TV
259,Ana (Serie de TV),2017,Canadá,Serie de TV
260,Vete y vive,2005,Francia,Película
