,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada,genero
224,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Fantástico
225,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Secuela
226,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Magia
227,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Young Adult
228,56,Marte (The Martian),2015,Estados Unidos,Película,7.0,62829,2010,Drama
229,56,Marte (The Martian),2015,Estados Unidos,Película,7.0,62829,2010,3-D
230,56,Marte (The Martian),2015,Estados Unidos,Película,7.0,62829,2010,Ciencia ficción
231,56,Marte (The Martian),2015,Estados Unidos,Película,7.0,62829,2010,Aventura espacial
232,56,Marte (The Martian),2015,Estados Unidos,Película,7.0,62829,2010,Supervivencia
233,57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221,2010,Aventuras
234,57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221,2010,3-D
235,57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221,2010,Ciencia ficción
236,57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221,2010,Secuela
237,57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221,2010,Aventura espacial
238,57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221,2010,Star Wars
239,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Acción
240,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Aventuras
241,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,3-D
242,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Fantástico
243,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Secuela
244,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Fantasía medieval
245,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Espada y brujería
246,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Precuela
247,58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898,2010,Dragones
248,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Acción
249,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Aventuras
250,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,3-D
251,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Fantástico
252,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Extraterrestres
253,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Superhéroes
254,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Cómic
255,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Marvel Comics
256,59,Thor,2011,Estados Unidos,Película,5.6,59681,2010,Mitología
257,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Drama
258,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Amistad
259,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Aventuras
260,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,3-D
261,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Fantástico
262,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Cine familiar
263,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Intriga
264,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Años 30
265,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Cine dentro del cine
266,60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379,2010,Steampunk
267,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Acción
268,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Aventuras
269,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,3-D
270,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Ciencia ficción
271,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Comedia
272,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Aventura espacial
273,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Superhéroes
274,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Cómic
275,61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356,2010,Marvel Comics
276,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Acción
277,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,3-D
278,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Fantástico
279,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Superhéroes
280,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Cómic
281,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Marvel Comics
282,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Steampunk
283,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,II Guerra Mundial
284,62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069,2010,Nazismo
285,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Acción
286,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Aventuras
287,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,3-D
288,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Fantástico
289,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Secuela
290,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Aventuras marinas
291,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Piratas
292,63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114,2010,Capa y espada
293,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Animación
294,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,3-D
295,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Ciencia ficción
296,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Comedia
297,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Infantil
298,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Familia
299,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Adopción
300,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Crimen
301,64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960,2010,Robos & Atracos
302,65,Jurassic World,2015,Estados Unidos,Película,5.78,52125,2010,Acción
303,65,Jurassic World,2015,Estados Unidos,Película,5.78,52125,2010,Aventuras
304,65,Jurassic World,2015,Estados Unidos,Película,5.78,52125,2010,3-D
305,65,Jurassic World,2015,Estados Unidos,Película,5.78,52125,2010,Ciencia ficción
306,65,Jurassic World,2015,Estados Unidos,Película,5.78,52125,2010,Secuela
307,65,Jurassic World,2015,Estados Unidos,Película,5.78,52125,2010,Dinosaurios
308,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,Acción
309,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,3-D
310,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,Ciencia ficción
311,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,Fantástico
312,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,Extraterrestres
313,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,Superhéroes
314,66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088,2010,Cómic
