,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada
128,11391,Carne,1932,Estados Unidos,Película,6.25,133,1930
129,2584,King Kong,1933,Estados Unidos,Película,7.3,29609,1930
130,3323,Una mujer para dos,1933,Estados Unidos,Película,7.33,2227,1930
131,3334,Dama por un día,1933,Estados Unidos,Película,7.26,1018,1930
132,3335,Cena a las ocho,1933,Estados Unidos,Película,7.15,847,1930
133,3364,No soy ningún ángel,1933,Estados Unidos,Película,6.11,322,1930
134,5265,El testamento del Dr. Mabuse,1933,Alemania,Película,7.97,3523,1930
135,5944,Vampiresas 1933,1933,Estados Unidos,Película,6.88,601,1930
136,5948,Fueros humanos,1933,Estados Unidos,Película,7.06,327,1930
137,5949,Gloria y hambre,1933,Estados Unidos,Película,7.18,306,1930
138,6275,Las cuatro hermanitas,1933,Estados Unidos,Película,6.98,1716,1930
139,7514,Las Hurdes (Tierra sin pan),1933,España,Película,7.44,7334,1930
140,7524,Cero en conducta,1933,Francia,Película,7.35,3189,1930
141,7887,La mascota (Fétiche),1933,Francia,Película,7.51,507,1930
142,9159,Catorce de julio (14 de julio),1933,Francia,Película,6.92,134,1930
143,10034,La vida privada de Enrique VIII,1933,Reino Unido,Película,6.96,1155,1930
144,10046,La reina Cristina de Suecia,1933,Estados Unidos,Película,7.58,2381,1930
145,10484,El hombre invisible,1933,Estados Unidos,Película,7.23,5053,1930
146,818,Cleopatra,1934,Estados Unidos,Película,6.61,703,1930
147,3307,Sucedió una noche,1934,Estados Unidos,Película,7.9,16319,1930
148,3339,La comedia de la vida,1934,Estados Unidos,Película,6.76,496,1930
149,3353,La mujer más rica del mundo,1934,Estados Unidos,Película,4.91,33,1930
150,3360,La viuda alegre,1934,Estados Unidos,Película,7.05,1004,1930
151,5937,El pan nuestro de cada día,1934,Estados Unidos,Película,7.57,916,1930
152,5977,La gran carretera,1934,China,Película,7.03,37,1930
153,6712,La patrulla perdida,1934,Estados Unidos,Película,6.8,1485,1930
154,8750,La isla del tesoro,1934,Estados Unidos,Película,7.16,1932,1930
155,9142,L'Atalante,1934,Francia,Película,7.91,4749,1930
156,9225,La pimpinela escarlata,1934,Reino Unido,Película,6.61,883,1930
157,9270,¡Viva Villa!,1934,Estados Unidos,Película,6.1,147,1930
158,9271,El compadre Mendoza,1934,México,Película,7.29,133,1930
159,9308,Tres cantos para Lenin (Tres cantos a Lenin),1934,Unión Soviética (URSS),Película,6.89,296,1930
160,9321,"Chapayev, el guerrillero rojo",1934,Unión Soviética (URSS),Película,6.38,79,1930
