id_peli,titulo,año,pais,tipo,puntuacion,votos
6991,Huella (Masters of Horror Series) (TV),2006,Estados Unidos,TV,5.94,2211
6992,Kairo (Pulse),2001,Japón,Película,5.68,2100
6993,Suicide Club (El club del suicidio),2001,Japón,Película,5.37,2037
6994,House,1977,Japón,Película,6.29,1676
6995,Cure,1997,Japón,Película,6.45,1502
6996,Ju-on (La maldición),2000,Japón,Película,6.29,1420
6997,El grito 3,2009,Estados Unidos,Película,4.04,1320
6998,El pozo (Llamada perdida 2),2005,Japón,Película,4.24,1224
6999,The Ring 2,1999,Japón,Película,5.17,1176
7000,As the Gods Will,2014,Japón,Película,5.98,1000
7001,Premonition,2004,Japón,Película,4.81,828
7002,La maldición,2005,Japón,Película,5.99,814
7003,Tag,2015,Japón,Película,5.43,795
7004,Apartamento 1303,2007,Japón,Película,3.8,730
7005,Seres extraños,2004,Japón,Película,4.76,690
7006,Llamada perdida final,2006,Japón,Película,4.07,601
7007,Reincarnation,2005,Japón,Película,5.23,584
7008,Guinea Pig 2: Flowers of Flesh and Blood,1985,Japón,Película,4.66,570
7009,4444444444 (Ten Fours) (C),1998,Japón,Cortometraje,4.46,556
7010,Gonjiam: Haunted Asylum,2018,Corea del Sur,Película,5.34,547
7011,Guinea Pig: Devil's Experiment,1985,Japón,Película,3.56,531
7012,Ju-On: Orígenes (Miniserie de TV),2020,Japón,Miniserie de TV,5.16,486
7013,Retribution,2006,Japón,Película,5.49,484
7014,Uzumaki,2000,Japón,Película,5.01,461
7015,Crucero de ensueño (Masters of Horror Series) (TV),2007,Estados Unidos,TV,4.15,445
7016,Loft,2005,Japón,Película,3.73,411
7017,Infection (Kansen),2004,Japón,Película,4.19,395
7018,Katasumi (In a Corner) (C),1998,Japón,Cortometraje,4.43,368
7019,Sadako vs. Kayako,2016,Japón,Película,4.34,354
7020,Kaidan,2007,Japón,Película,5.15,347
7021,Ring 0: Birthday,2000,Japón,Película,5.03,346
7022,Ju-on 2 (La maldición 2),2000,Japón,Película,5.72,345
7023,The Grudge: Old Lady in White,2009,Japón,Película,5.72,317
7024,Strange Circus,2005,Japón,Película,6.15,306
7025,La leyenda del gran judo,1943,Japón,Película,6.42,791
7026,Cinturón negro (Yawara!) (Serie de TV),1989,Japón,Serie de TV,5.83,704
7027,La nueva leyenda del gran Judo,1945,Japón,Película,5.8,379
7028,Douches froides,2005,Francia,Película,5.67,163
7029,Throw Down,2004,Hong Kong,Película,6.58,120
7030,"Sam, el Rey del Judo (Kurenai Sanshiro) (Serie de TV)",1969,Japón,Serie de TV,6.0,109
7031,Sugata Sanshiro,1965,Japón,Película,6.38,42
7032,Rounders,1998,Estados Unidos,Película,6.96,20009
