id_peli,id_act
4466,0
4467,0
4468,0
4469,0
4470,0
4471,0
4472,0
4473,0
4474,0
4475,0
4476,0
4477,0
4478,0
4479,0
4480,0
4481,0
4482,0
4483,0
4484,0
4485,0
4486,0
4487,0
4488,0
4489,0
4490,0
4491,0
4492,0
4493,0
4494,0
4495,0
4496,0
4497,0
4498,0
4499,0
4500,0
4501,0
4502,0
4503,0
4504,0
4505,0
4506,0
4507,0
4508,0
4509,0
4510,0
4511,0
4512,0
4513,0
4514,0
4515,0
4516,0
4517,0
4518,0
4519,0
4520,0
4521,0
4522,0
4523,0
4524,0
4525,0
4526,0
4527,0
4528,0
4529,0
4530,0
4531,0
4532,0
4533,0
4534,0
4535,0
4536,0
4537,0
4538,0
4539,0
4540,0
4541,0
4542,0
4543,0
4544,0
4545,0
4546,0
4547,0
4548,0
4549,0
4550,0
4551,0
4552,0
4553,0
4554,0
4555,0
4556,0
4557,0
4558,0
4559,0
4560,0
4561,0
4562,0
4563,0
4564,0
4565,0
4566,0
4567,0
4568,0
4569,0
4570,0
4571,0
4572,0
4573,0
4574,0
4575,0
4576,0
4577,0
4578,0
4579,0
4580,0
4581,0
4582,0
4583,0
4584,0
4585,0
4586,0
4587,0
4588,0
4805,0
5015,0
5028,0
5029,0
5031,0
5032,0
5033,0
5035,0
5040,0
5042,0
5043,0
5106,0
5114,0
5145,0
5190,0
5196,0
5201,0
5203,0
5207,0
5208,0
5214,0
5218,0
5227,0
5229,0
5232,0
5239,0
5243,0
5249,0
5251,0
5252,0
5253,0
5254,0
5258,0
5259,0
5261,0
5267,0
5285,0
5288,0
5289,0
5322,0
5337,0
5343,0
5346,0
5434,0
5441,0
5447,0
5453,0
5460,0
5493,0
5496,0
5512,0
5537,0
5542,0
5544,0
5545,0
5546,0
5547,0
5550,0
5552,0
5553,0
5554,0
5555,0
5556,0
5557,0
5558,0
5562,0
5564,0
5566,0
5568,0
5570,0
5571,0
5572,0
5574,0
5577,0
5578,0
5579,0
5580,0
5581,0
5586,0
5602,0
5605,0
5606,0
5614,0
5617,0
5621,0
5623,0
5626,0
5628,0
5644,0
5648,0
5651,0
5653,0
5654,0
5655,0
5712,0
5713,0
5769,0
5789,0
5861,0
5863,0
5864,0
5869,0
5884,0
5894,0
5967,0
5983,0
5984,0
5987,0
6008,0
6019,0
6023,0
6026,0
6028,0
6037,0
6043,0
6044,0
6045,0
6049,0
6052,0
6053,0
6056,0
6057,0
6058,0
6059,0
6061,0
6062,0
6071,0
6129,0
6130,0
6168,0
6170,0
6174,0
6177,0
6178,0
6181,0
6189,0
6190,0
6211,0
6215,0
6217,0
6221,0
6235,0
6245,0
6247,0
6249,0
6254,0
6257,0
6258,0
6263,0
6304,0
6305,0
6306,0
6307,0
6308,0
6310,0
6311,0
6312,0
6313,0
6314,0
6315,0
6331,0
6345,0
6350,0
6352,0
6370,0
6465,0
6466,0
6469,0
6470,0
6473,0
6476,0
6480,0
6482,0
6486,0
6490,0
6492,0
6494,0
6497,0
6508,0
6511,0
6615,0
6619,0
6637,0
6720,0
6803,0
6814,0
6849,0
6851,0
6904,0
6905,0
6907,0
6908,0
6909,0
6910,0
6911,0
6969,0
6970,0
6973,0
6975,0
6977,0
6981,0
6983,0
6984,0
7055,0
7081,0
7084,0
7085,0
7090,0
7091,0
7100,0
7110,0
7158,0
7167,0
7476,0
7510,0
7514,0
7519,0
7549,0
7621,0
7628,0
7716,0
7717,0
7719,0
7730,0
7766,0
7782,0
7790,0
7795,0
7799,0
7803,0
7804,0
7806,0
7808,0
7816,0
7882,0
7936,0
7939,0
7941,0
7952,0
7954,0
8028,0
8034,0
8131,0
8163,0
8175,0
8188,0
8210,0
8237,0
8239,0
8241,0
8243,0
8250,0
8252,0
8261,0
8262,0
8270,0
8271,0
8282,0
8288,0
8300,0
8409,0
8410,0
8424,0
8488,0
8507,0
8578,0
8579,0
8581,0
8582,0
8583,0
8584,0
8585,0
8586,0
8587,0
8588,0
8589,0
8656,0
8676,0
8677,0
8680,0
8682,0
8683,0
8698,0
8699,0
8713,0
8715,0
8839,0
8905,0
8919,0
8926,0
8927,0
8991,0
8995,0
8999,0
9000,0
9004,0
9008,0
9011,0
9016,0
9021,0
9024,0
9026,0
9027,0
9028,0
9029,0
9030,0
9031,0
9034,0
9037,0
9094,0
9106,0
9190,0
9191,0
9194,0
9198,0
9202,0
9203,0
9204,0
9208,0
9209,0
9217,0
9219,0
9245,0
9284,0
9287,0
9301,0
9305,0
9308,0
9310,0
9315,0
9327,0
9329,0
9334,0
9409,0
9415,0
9416,0
9418,0
